Center,Throttle,Steering,Brake,Gear
100002339.0,1.0,-8e-06,0.0,4.0
100002340.0,1.0,-1e-05,0.0,4.0
100002341.0,1.0,-1.2e-05,0.0,4.0
100002342.0,1.0,-1.2e-05,0.0,4.0
100002343.0,1.0,-9e-06,0.0,4.0
100002344.0,1.0,-1.3e-05,0.0,4.0
100002345.0,1.0,-2.8e-05,0.0,4.0
100002346.0,1.0,-2.3e-05,0.0,4.0
100002348.0,1.0,-2.3e-05,0.0,4.0
100002347.0,1.0,-2.3e-05,0.0,4.0
100002349.0,1.0,-1.2e-05,0.0,4.0
100002350.0,1.0,-8e-06,0.0,4.0
100002351.0,1.0,1e-06,0.0,4.0
100002352.0,1.0,2e-06,0.0,4.0
100002353.0,1.0,-4e-06,0.0,4.0
100002354.0,1.0,-4e-06,0.0,4.0
100002355.0,1.0,-4.1e-05,0.0,4.0
100002356.0,1.0,-4.1e-05,0.0,4.0
100002357.0,0.5,-2.8e-05,0.0,4.0
100002358.0,0.5,-1.3e-05,0.0,4.0
100002359.0,0.5,-1.3e-05,0.0,4.0
100002360.0,0.5,-4e-06,0.0,4.0
100002361.0,0.5,4e-06,0.0,0.0
100002362.0,0.5,4e-06,0.0,0.0
100002363.0,0.5,1.8e-05,0.0,0.0
100002364.0,0.5,2e-05,0.0,0.0
100002365.0,0.5,2e-05,0.0,0.0
100002367.0,1.0,1e-06,0.0,3.0
100002368.0,1.0,5e-06,0.0,3.0
100002369.0,1.0,-1e-05,0.0,3.0
100002370.0,1.0,-1e-05,0.0,3.0
100002371.0,1.0,-1.6e-05,0.0,3.0
100002373.0,1.0,-4e-06,0.0,3.0
100002374.0,1.0,1e-05,0.0,3.0
100002375.0,1.0,1.2e-05,0.0,3.0
100002376.0,0.5,-4e-06,0.0,3.0
100002378.0,0.5,-3.7e-05,0.0,3.0
100002379.0,0.5,-3.9e-05,0.0,3.0
100002380.0,0.5,-3.3e-05,0.0,3.0
100002381.0,0.5,-1.9e-05,0.0,3.0
100002382.0,0.5,-5e-06,0.0,3.0
100002383.0,0.5,1.4e-05,0.0,3.0
100002385.0,0.5,1.4e-05,0.0,3.0
100002386.0,1.0,3.5e-05,0.0,3.0
100002387.0,1.0,3.5e-05,0.0,3.0
100002388.0,1.0,2.2e-05,0.0,3.0
100002389.0,1.0,-1e-06,0.0,0.0
100002390.0,1.0,-2.2e-05,0.0,0.0
100002391.0,1.0,-2.2e-05,0.0,0.0
100002392.0,1.0,-2.5e-05,0.0,0.0
100002393.0,1.0,-2.2e-05,0.0,0.0
100002394.0,1.0,-7e-06,0.0,0.0
100002395.0,1.0,1.3e-05,0.0,4.0
100002396.0,1.0,2.1e-05,0.0,4.0
100002398.0,1.0,1.9e-05,0.0,4.0
100002398.0,1.0,1.9e-05,0.0,4.0
100002400.0,1.0,2.1e-05,0.0,4.0
100002401.0,1.0,-1.4e-05,0.0,4.0
100002403.0,0.5,-4.2e-05,0.0,4.0
100002404.0,0.5,-0.003425,0.0,4.0
100002405.0,0.5,-0.014203,0.0,4.0
100002406.0,0.5,-0.014203,0.0,4.0
100002407.0,0.5,-0.038845,0.0,4.0
100002408.0,0.5,-0.055955,0.0,4.0
100002409.0,0.5,-0.06597,0.0,4.0
100002410.0,0.5,-0.06597,0.0,4.0
100002411.0,0.5,-0.06597,0.0,4.0
100002412.0,0.5,-0.057685,0.0,4.0
100002413.0,1.0,-0.022711,0.0,4.0
100002414.0,1.0,-0.024494,0.0,0.0
100002415.0,1.0,-0.024494,0.0,0.0
100002416.0,1.0,-0.012011,0.0,0.0
100002417.0,1.0,-0.003809,0.0,0.0
100002418.0,1.0,-0.009135,0.0,0.0
100002419.0,1.0,-0.021257,0.0,0.0
100002420.0,1.0,-0.039968,0.0,3.0
100002420.0,1.0,-0.039968,0.0,3.0
100002422.0,1.0,-0.054628,0.0,3.0
100002424.0,1.0,-0.046629,0.0,3.0
100002425.0,1.0,-0.046629,0.0,3.0
100002426.0,1.0,-0.038246,0.0,3.0
100002427.0,1.0,-0.038246,0.0,3.0
100002428.0,1.0,-0.016693,0.0,3.0
100002429.0,1.0,-0.017584,0.0,3.0
100002430.0,1.0,-0.016742,0.0,3.0
100002431.0,0.5,-0.020993,0.0,3.0
100002432.0,0.5,-0.020993,0.0,3.0
100002434.0,0.5,-0.033213,0.0,3.0
100002435.0,0.5,-0.034869,0.0,3.0
100002436.0,0.5,-0.038371,0.0,3.0
100002438.0,0.5,-0.033345,0.0,3.0
100002440.0,0.5,-0.033345,0.0,3.0
100002441.0,0.5,-0.033345,0.0,3.0
100002442.0,0.5,-0.051477,0.0,3.0
100002443.0,1.0,-0.061254,0.0,3.0
100002444.0,1.0,-0.068641,0.0,3.0
100002445.0,1.0,-0.072719,0.0,3.0
100002446.0,1.0,-0.078568,0.0,0.0
100002448.0,1.0,-0.066006,0.0,0.0
100002449.0,1.0,-0.05473,0.0,0.0
100002450.0,1.0,-0.043623,0.0,0.0
100002451.0,1.0,-0.035278,0.0,0.0
100002453.0,1.0,-0.041254,0.0,4.0
100002454.0,1.0,-0.04029,0.0,4.0
100002455.0,1.0,-0.04029,0.0,4.0
100002456.0,1.0,-0.042649,0.0,4.0
100002457.0,1.0,-0.04781,0.0,4.0
100002458.0,0.0,-0.054851,1.0,4.0
100002459.0,0.0,-0.0579,1.0,4.0
100002460.0,0.0,-0.054468,1.0,4.0
100002462.0,0.0,-0.063328,1.0,4.0
100002463.0,0.0,-0.05581,1.0,4.0
100002464.0,0.0,-0.04482,1.0,4.0
100002465.0,0.0,-0.036825,1.0,4.0
100002466.0,0.0,-0.032995,1.0,4.0
100002467.0,0.5,-0.03412,0.0,4.0
100002468.0,0.5,-0.032107,0.0,4.0
100002469.0,0.5,-0.035699,0.0,4.0
100002470.0,0.5,-0.034609,0.0,4.0
100002471.0,0.5,-0.038598,0.0,0.0
100002472.0,0.5,-0.03827,0.0,0.0
100002473.0,0.5,-0.043641,0.0,0.0
100002474.0,0.5,-0.050657,0.0,0.0
100002475.0,0.5,-0.048345,0.0,0.0
100002476.0,0.5,-0.049679,0.0,0.0
100002477.0,0.5,-0.046777,0.0,3.0
100002478.0,0.5,-0.030594,0.0,3.0
100002479.0,0.5,-0.009432,0.0,3.0
100002480.0,0.5,0.004336,0.0,3.0
100002481.0,0.5,0.011322,0.0,3.0
100002482.0,0.5,0.01434,0.0,3.0
100002483.0,0.5,0.012041,0.0,3.0
100002484.0,0.5,0.009086,0.0,3.0
100002485.0,0.5,0.003755,0.0,3.0
100002486.0,0.5,-0.000509,0.0,3.0
100002487.0,0.5,-0.002792,0.0,3.0
100002488.0,0.5,-0.003411,0.0,3.0
100002489.0,0.5,-0.002818,0.0,3.0
100002490.0,0.5,-0.002151,0.0,3.0
100002491.0,0.5,-0.000629,0.0,3.0
100002492.0,0.5,6.3e-05,0.0,3.0
100002493.0,0.5,0.000813,0.0,3.0
100002494.0,0.0,0.001016,1.0,0.0
100002495.0,0.0,0.001037,1.0,0.0
100002496.0,0.0,0.000603,1.0,0.0
100002497.0,0.0,0.00019,1.0,0.0
100002498.0,0.0,-1.7e-05,1.0,0.0
100002499.0,0.0,-0.000155,1.0,2.0
100002500.0,0.0,-0.000185,1.0,2.0
100002501.0,0.0,-0.000146,1.0,2.0
100002502.0,0.0,-8.4e-05,1.0,2.0
100002503.0,0.0,-4.6e-05,1.0,2.0
100002504.0,0.5,-1.1e-05,0.0,2.0
100002505.0,0.5,2e-05,0.0,2.0
100002506.0,0.5,2.7e-05,0.0,2.0
100002507.0,0.5,1.4e-05,0.0,2.0
100002508.0,0.5,1e-06,0.0,2.0
100002509.0,0.5,1e-06,0.0,2.0
100002510.0,0.5,5e-06,0.0,2.0
100002511.0,0.5,-1e-06,0.0,2.0
100002513.0,0.5,-1.4e-05,0.0,2.0
100002514.0,0.5,-8e-06,0.0,2.0
100002515.0,0.5,-2e-06,0.0,2.0
100002516.0,0.5,-1.8e-05,0.0,0.0
100002517.0,0.5,4e-06,0.0,0.0
100002518.0,0.5,1.3e-05,0.0,0.0
100002519.0,0.5,0.0,0.0,0.0
100002520.0,0.5,6e-06,0.0,0.0
100002522.0,0.5,1.3e-05,0.0,1.0
100002523.0,0.5,1.9e-05,0.0,1.0
100002524.0,0.5,1.8e-05,0.0,1.0
100002525.0,0.5,2.5e-05,0.0,1.0
100002526.0,0.5,1.7e-05,0.0,1.0
100002527.0,0.5,1.6e-05,0.0,1.0
100002528.0,0.5,3e-05,0.0,1.0
100002529.0,1.0,-4.6e-05,0.0,1.0
100002530.0,1.0,0.000134,0.0,1.0
100002531.0,1.0,0.000112,0.0,1.0
100002532.0,0.5,1.4e-05,0.0,1.0
100002533.0,0.5,-4.1e-05,0.0,1.0
100002534.0,0.5,-0.000106,0.0,1.0
100002535.0,0.5,-7e-05,0.0,1.0
